filename,timestamp,file_index,B1_mean,B1_std,B1_rms,B1_peak,B1_kurtosis,B1_skew,B1_crest_factor,B1_shape_factor,B2_mean,B2_std,B2_rms,B2_peak,B2_kurtosis,B2_skew,B2_crest_factor,B2_shape_factor,B3_mean,B3_std,B3_rms,B3_peak,B3_kurtosis,B3_skew,B3_crest_factor,B3_shape_factor,B4_mean,B4_std,B4_rms,B4_peak,B4_kurtosis,B4_skew,B4_crest_factor,B4_shape_factor
2004.02.12.10.32.39,2004-02-12 10:32:39,0,-0.010195996093750001,0.07347493104305192,0.07417899856512623,0.454,0.6287626426442556,0.08399343541253228,6.120330670161392,1.2716598450872434,-0.012694970703124999,0.09005347464156324,0.09094388696428075,0.513,0.5068005370841773,0.12691486043827804,5.640840930864178,1.2660708845413229,-0.014540966796874999,0.10843350938911968,0.10940413919878957,1.023,3.213074668222573,0.204839716409692,9.350651698298067,1.3142540226819774,-0.0100259765625,0.0531663902091768,0.05410346803954669,0.264,0.06595905114862788,-0.022080008834997857,4.879539326518411,1.2563228062744947
2004.02.12.10.42.39,2004-02-12 10:42:39,1,-0.002585009765625,0.07533812128951385,0.07538245681139528,0.388,0.648291081310854,0.052141907331332595,5.147086157867801,1.277741723778731,-0.0025609375,0.09338377948549788,0.09341888819652586,0.481,0.25301376937623843,0.07008844936856538,5.1488516860542966,1.2622758151500963,-0.002460791015625,0.10978975747066774,0.10981733168262023,0.752,1.3952499379815348,-0.023853576139170517,6.847735129581664,1.3005550505838823,-0.0037836914062500003,0.055973118789277056,0.05610085870694182,0.249,0.10753933160081752,0.001582414617422172,4.43843473592302,1.2595629211822346
2004.02.12.10.52.39,2004-02-12 10:52:39,2,-0.0024839843749999996,0.0761892927992494,0.07622977446919937,0.503,0.513475308823208,0.03280799811503518,6.5984715749518195,1.2654562485747707,-0.0016954589843750003,0.0937025602830463,0.0937178978891739,0.503,0.310789228477665,0.09658256297861974,5.367171173587597,1.2626447843593411,-0.0015954589843750003,0.10984946406227844,0.10986104971344769,0.933,2.639947862656677,0.056560666319352165,8.492545833428304,1.309081836807945,-0.0034853515625,0.05603693397230999,0.0561452192491155,0.354,0.25723641276594833,0.07044906046529774,6.305078237014397,1.2633371387187096
2004.02.12.11.02.39,2004-02-12 11:02:39,3,-0.002276611328125,0.07869075089989153,0.07872367646602974,0.608,1.1579527230048088,0.04148596171613031,7.723216537814513,1.2810331258938081,-0.0023928222656249996,0.09291629369506194,0.09294709910708282,0.569,0.23534074042490039,0.10583404042688352,6.121761792097077,1.2587104269920435,-0.00314794921875,0.1106217530671688,0.11066653439923697,1.016,2.6827791177441718,0.03355008488846847,9.1807338642657,1.310246113398952,-0.003740771484375,0.05668413146164508,0.05680743024340544,0.525,0.8061900787493546,-0.03632709701957426,9.241748795016921,1.2601162308219922
2004.02.12.11.12.39,2004-02-12 11:12:39,4,-0.002403857421875,0.07843746411081838,0.07847429073677968,0.391,0.6031769286310373,0.028223944368193307,4.982523528775831,1.2788955235683805,-0.001559033203125,0.09533522183796202,0.09534796855424806,0.486,0.22630879489770805,0.0979656333163101,5.097119606942555,1.2611098132940761,-0.0011584960937500001,0.10749935762927616,0.1075055998723148,0.771,1.5783946520336105,-0.0028921584715915984,7.171719435226839,1.2978012829885877,-0.002702587890625,0.05677665581598279,0.05684094146786386,0.244,0.13895379679433084,0.0190075166958847,4.292680481690301,1.2598198110456684
2004.02.12.11.22.39,2004-02-12 11:22:39,5,-0.001623095703125,0.07829782000144782,0.07831464139380723,0.439,0.45609362146286525,0.026852972301411062,5.605592928562068,1.269929282418339,-0.0014525878906250002,0.09239330152210379,0.09240471945595839,0.574,0.18563759722622164,0.06080463418952149,6.211803935767348,1.2609725273493722,-0.0008415527343749998,0.11051402335158485,0.11051722747318345,0.862,1.8624281531683406,0.07741403699776964,7.799688968936184,1.3019535224303806,-0.0028218261718750003,0.05549422955454555,0.055565926760892545,0.247,0.14940733837719256,0.012741574472742679,4.4451701680937195,1.2579828767631305
2004.02.12.11.32.39,2004-02-12 11:32:39,6,-0.0016064453124999996,0.07861603186545633,0.07863244325857172,0.408,0.4786149756059892,0.05859457915072469,5.18869798638139,1.2694129000321206,-0.0016959472656250002,0.09390317165909705,0.09391848531980074,0.583,0.2501083955512966,0.09921385444321504,6.20751067284394,1.2590903153596724,-0.00185634765625,0.10737186617198258,0.10738791213109136,0.896,1.82203297869229,0.14561675932802473,8.34358339052377,1.2997285311169209,-0.0029048828125,0.05620405793625485,0.05627907668624504,0.239,0.10779375483252984,-0.019774749352839485,4.246693692798502,1.2602153620200898
2004.02.12.11.42.39,2004-02-12 11:42:39,7,-0.0020266601562500004,0.07774646967579023,0.07777288022464836,0.415,0.4719824550317826,0.0825818179550488,5.336050289011607,1.2701481055302222,-0.0017436523437500003,0.09322421104069686,0.09324051612714428,0.41,0.1037504492141541,0.0869128229556518,4.397230056523039,1.257108736511918,-0.0017033203125000004,0.10621897924323846,0.10623263552958902,0.776,1.4448963659987744,0.0014656274776145104,7.3047232249439995,1.2951883126140669,-0.0023300292968750002,0.05545575654680791,0.05550468422307369,0.229,0.20979100466934808,-0.017148859775742896,4.125777908755367,1.2660714632130814
2004.02.12.11.52.39,2004-02-12 11:52:39,8,-0.0019162109375,0.07900619543360511,0.07902942984262255,0.386,0.404514320897305,-0.008060293710742161,4.884256419015951,1.2689100800902766,-0.0008009765625,0.09585589739527024,0.09585924383650357,0.613,0.45142640681747537,0.03530401451886102,6.394792776015694,1.2644969790200864,-0.0013142089843750002,0.11057860941703311,0.11058641872246056,0.967,2.3845540569234327,0.03416131914349388,8.744292573818544,1.310678881851327,-0.002539111328125,0.05579735616208901,0.05585509861253156,0.33,0.15983731154509373,0.008342651967002448,5.908144613425886,1.2615980725900653
2004.02.12.12.02.39,2004-02-12 12:02:39,9,-0.0020966308593750003,0.07568852631669243,0.07571755989830314,0.378,0.3252033150483178,0.04632106694487995,4.9922369461944465,1.2642175979367836,-0.0017168945312499996,0.09472631335134558,0.09474187125009063,0.466,0.19603235889333703,0.08951343846820298,4.918627781478976,1.2612607990693245,-0.0018962402343750003,0.10975436897591669,0.10977074854590418,0.781,1.4615057334105153,0.00629930133164359,7.114828042494396,1.2990013123577435,-0.0027732910156249998,0.055390229807381446,0.0554596132439803,0.291,0.20610664754092234,0.029685526458732514,5.247061473721794,1.2612393487520628
